# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_9> 
0 0 
0.00125 0.0432033 
0.0025 0.0835373 
0.00375 0.121097 
0.005 0.155978 
0.00625 0.18827 
0.0075 0.218063 
0.00875 0.245447 
0.01 0.270508 
0.01125 0.293329 
0.0125 0.313995 
0.01375 0.332585 
0.015 0.34918 
0.01625 0.363857 
0.0175 0.376693 
0.01875 0.387761 
0.02 0.397134 
0.02125 0.404884 
0.0225 0.41108 
0.02375 0.415791 
0.025 0.419082 
0.02625 0.421018 
0.0275 0.421663 
0.02875 0.421078 
0.03 0.419325 
0.03125 0.416461 
0.0325 0.412545 
0.03375 0.407632 
0.035 0.401777 
0.03625 0.395034 
0.0375 0.387454 
0.03875 0.379088 
0.04 0.369986 
0.04125 0.360194 
0.0425 0.34976 
0.04375 0.338729 
0.045 0.327145 
0.04625 0.315051 
0.0475 0.302489 
0.04875 0.289499 
0.05 0.27612 
0.05125 0.262391 
0.0525 0.248348 
0.05375 0.234028 
0.055 0.219464 
0.05625 0.204691 
0.0575 0.18974 
0.05875 0.174644 
0.06 0.159433 
0.06125 0.144136 
0.0625 0.128781 
0.06375 0.113396 
0.065 0.0980071 
0.06625 0.0826398 
0.0675 0.0673183 
0.06875 0.0520663 
0.07 0.0369062 
0.07125 0.0218597 
0.0725 0.00694759 
0.07375 -0.00781023 
0.075 -0.0223947 
0.07625 -0.0367877 
0.0775 -0.0509719 
0.07875 -0.0649306 
0.08 -0.0786481 
0.08125 -0.0921096 
0.0825 -0.105301 
0.08375 -0.118208 
0.085 -0.130819 
0.08625 -0.143121 
0.0875 -0.155104 
0.08875 -0.166757 
0.09 -0.178069 
0.09125 -0.189032 
0.0925 -0.199637 
0.09375 -0.209877 
0.095 -0.219743 
0.09625 -0.22923 
0.0975 -0.238331 
0.09875 -0.24704 
0.1 -0.255354 
0.10125 -0.263266 
0.1025 -0.270775 
0.10375 -0.277876 
0.105 -0.284567 
0.10625 -0.290845 
