# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_M_11> 
0 0 
0.00125 -0.00167841 
0.0025 -0.00315429 
0.00375 -0.0044372 
0.005 -0.00553652 
0.00625 -0.00646139 
0.0075 -0.00722076 
0.00875 -0.00782336 
0.01 -0.0082777 
0.01125 -0.00859212 
0.0125 -0.00877473 
0.01375 -0.00883346 
0.015 -0.00877604 
0.01625 -0.00860999 
0.0175 -0.00834267 
0.01875 -0.00798122 
0.02 -0.00753262 
0.02125 -0.00700364 
0.0225 -0.00640089 
0.02375 -0.0057308 
0.025 -0.0049996 
0.02625 -0.00421338 
0.0275 -0.00337804 
0.02875 -0.00249929 
0.03 -0.00158271 
0.03125 -0.000633698 
0.0325 0.000342518 
0.03375 0.00134086 
0.035 0.00235642 
0.03625 0.00338442 
0.0375 0.00442028 
0.03875 0.00545952 
0.04 0.00649786 
0.04125 0.00753113 
0.0425 0.00855532 
0.04375 0.00956657 
0.045 0.0105611 
0.04625 0.0115354 
0.0475 0.012486 
0.04875 0.0134096 
0.05 0.0143029 
0.05125 0.015163 
0.0525 0.0159869 
0.05375 0.0167718 
0.055 0.017515 
0.05625 0.018214 
0.0575 0.0188663 
0.05875 0.0194697 
0.06 0.0200219 
0.06125 0.0205209 
0.0625 0.0209646 
0.06375 0.0213512 
0.065 0.021679 
0.06625 0.0219464 
0.0675 0.0221517 
0.06875 0.0222935 
0.07 0.0223706 
0.07125 0.0223816 
0.0725 0.0223254 
0.07375 0.022201 
0.075 0.0220074 
0.07625 0.0217438 
0.0775 0.0214094 
0.07875 0.0210035 
0.08 0.0205255 
0.08125 0.0199749 
0.0825 0.0193512 
0.08375 0.0186542 
0.085 0.0178835 
0.08625 0.017039 
0.0875 0.0161205 
0.08875 0.015128 
0.09 0.0140615 
0.09125 0.0129212 
0.0925 0.0117072 
0.09375 0.0104197 
0.095 0.009059 
0.09625 0.00762555 
0.0975 0.00611974 
0.09875 0.00454206 
0.1 0.00289306 
0.10125 0.00117336 
0.1025 -0.000616396 
0.10375 -0.00247547 
0.105 -0.00440309 
0.10625 -0.00639844 
0.1075 -0.00846064 
0.10875 -0.0105888 
0.11 -0.0127818 
0.11125 -0.0150388 
0.1125 -0.0173587 
0.11375 -0.0197403 
0.115 -0.0221826 
0.11625 -0.0246843 
0.1175 -0.0272442 
0.11875 -0.029861 
0.12 -0.0325335 
0.12125 -0.0352602 
0.1225 -0.0380399 
0.12375 -0.0408712 
0.125 -0.0437526 
0.12625 -0.0466826 
0.1275 -0.0496597 
0.12875 -0.0526826 
0.13 -0.0557495 
0.13125 -0.0588589 
0.1325 -0.0620094 
0.13375 -0.0651991 
0.135 -0.0684266 
0.13625 -0.0716901 
0.1375 -0.0749881 
0.13875 -0.0783187 
0.14 -0.0816804 
0.14125 -0.0850713 
0.1425 -0.0884898 
0.14375 -0.0919342 
0.145 -0.0954026 
0.14625 -0.0988933 
0.1475 -0.102405 
0.14875 -0.105935 
0.15 -0.109482 
0.15125 -0.113044 
0.1525 -0.116619 
0.15375 -0.120206 
0.155 -0.123803 
0.15625 -0.127408 
0.1575 -0.131019 
0.15875 -0.134634 
0.16 -0.138252 
0.16125 -0.141871 
0.1625 -0.145488 
0.16375 -0.149103 
0.165 -0.152713 
0.16625 -0.156316 
0.1675 -0.159911 
0.16875 -0.163496 
0.17 -0.16707 
0.17125 -0.17063 
0.1725 -0.174174 
0.17375 -0.177702 
0.175 -0.181211 
0.17625 -0.184699 
0.1775 -0.188165 
0.17875 -0.191608 
0.18 -0.195025 
0.18125 -0.198414 
0.1825 -0.201775 
0.18375 -0.205106 
0.185 -0.208404 
0.18625 -0.211669 
0.1875 -0.214898 
0.18875 -0.218091 
0.19 -0.221245 
0.19125 -0.22436 
0.1925 -0.227433 
0.19375 -0.230464 
0.195 -0.23345 
0.19625 -0.236391 
0.1975 -0.239285 
0.19875 -0.24213 
0.2 -0.244925 
0.20125 -0.24767 
0.2025 -0.250362 
0.20375 -0.253001 
0.205 -0.255584 
0.20625 -0.258112 
0.2075 -0.260582 
0.20875 -0.262994 
0.21 -0.265346 
0.21125 -0.267638 
0.2125 -0.269868 
0.21375 -0.272035 
0.215 -0.274138 
0.21625 -0.276177 
0.2175 -0.27815 
0.21875 -0.280056 
0.22 -0.281895 
0.22125 -0.283665 
0.2225 -0.285366 
0.22375 -0.286997 
0.225 -0.288557 
0.22625 -0.290046 
0.2275 -0.291463 
0.22875 -0.292807 
0.23 -0.294077 
0.23125 -0.295273 
0.2325 -0.296395 
0.23375 -0.297442 
0.235 -0.298413 
0.23625 -0.299308 
0.2375 -0.300127 
0.23875 -0.300868 
0.24 -0.301533 
0.24125 -0.30212 
0.2425 -0.30263 
0.24375 -0.303061 
0.245 -0.303414 
0.24625 -0.303689 
0.2475 -0.303886 
0.24875 -0.304004 
0.25 -0.304043 
0.25125 -0.304004 
0.2525 -0.303886 
0.25375 -0.303689 
0.255 -0.303414 
0.25625 -0.303061 
0.2575 -0.30263 
0.25875 -0.30212 
0.26 -0.301533 
0.26125 -0.300868 
0.2625 -0.300127 
0.26375 -0.299308 
0.265 -0.298413 
0.26625 -0.297442 
0.2675 -0.296395 
0.26875 -0.295273 
0.27 -0.294077 
0.27125 -0.292807 
0.2725 -0.291463 
0.27375 -0.290046 
0.275 -0.288557 
0.27625 -0.286997 
0.2775 -0.285366 
0.27875 -0.283665 
0.28 -0.281895 
0.28125 -0.280056 
0.2825 -0.27815 
0.28375 -0.276177 
0.285 -0.274138 
0.28625 -0.272035 
0.2875 -0.269868 
0.28875 -0.267638 
0.29 -0.265346 
0.29125 -0.262994 
0.2925 -0.260582 
0.29375 -0.258112 
0.295 -0.255584 
0.29625 -0.253001 
0.2975 -0.250362 
0.29875 -0.24767 
0.3 -0.244925 
0.30125 -0.24213 
0.3025 -0.239285 
0.30375 -0.236391 
0.305 -0.23345 
0.30625 -0.230464 
0.3075 -0.227433 
0.30875 -0.22436 
0.31 -0.221245 
0.31125 -0.218091 
0.3125 -0.214898 
0.31375 -0.211669 
0.315 -0.208404 
0.31625 -0.205106 
0.3175 -0.201775 
0.31875 -0.198414 
0.32 -0.195025 
0.32125 -0.191608 
0.3225 -0.188165 
0.32375 -0.184699 
0.325 -0.181211 
0.32625 -0.177702 
0.3275 -0.174174 
0.32875 -0.17063 
0.33 -0.16707 
0.33125 -0.163496 
0.3325 -0.159911 
0.33375 -0.156316 
0.335 -0.152713 
0.33625 -0.149103 
0.3375 -0.145488 
0.33875 -0.141871 
0.34 -0.138252 
0.34125 -0.134634 
0.3425 -0.131019 
0.34375 -0.127408 
0.345 -0.123803 
0.34625 -0.120206 
0.3475 -0.116619 
0.34875 -0.113044 
0.35 -0.109482 
0.35125 -0.105935 
0.3525 -0.102405 
0.35375 -0.0988933 
0.355 -0.0954026 
0.35625 -0.0919342 
0.3575 -0.0884898 
0.35875 -0.0850713 
0.36 -0.0816804 
0.36125 -0.0783187 
0.3625 -0.0749881 
0.36375 -0.0716901 
0.365 -0.0684266 
0.36625 -0.0651991 
0.3675 -0.0620094 
0.36875 -0.0588589 
0.37 -0.0557495 
0.37125 -0.0526826 
0.3725 -0.0496597 
0.37375 -0.0466826 
0.375 -0.0437526 
0.37625 -0.0408712 
0.3775 -0.0380399 
0.37875 -0.0352602 
0.38 -0.0325335 
0.38125 -0.029861 
0.3825 -0.0272442 
0.38375 -0.0246843 
0.385 -0.0221826 
0.38625 -0.0197403 
0.3875 -0.0173587 
0.38875 -0.0150388 
0.39 -0.0127818 
0.39125 -0.0105888 
0.3925 -0.00846064 
0.39375 -0.00639844 
0.395 -0.00440309 
0.39625 -0.00247547 
0.3975 -0.000616396 
0.39875 0.00117336 
0.4 0.00289306 
0.40125 0.00454206 
0.4025 0.00611974 
0.40375 0.00762555 
0.405 0.009059 
0.40625 0.0104197 
0.4075 0.0117072 
0.40875 0.0129212 
0.41 0.0140615 
0.41125 0.015128 
0.4125 0.0161205 
0.41375 0.017039 
0.415 0.0178835 
0.41625 0.0186542 
0.4175 0.0193512 
0.41875 0.0199749 
0.42 0.0205255 
0.42125 0.0210035 
0.4225 0.0214094 
0.42375 0.0217438 
0.425 0.0220074 
0.42625 0.022201 
0.4275 0.0223254 
0.42875 0.0223816 
0.43 0.0223706 
0.43125 0.0222935 
0.4325 0.0221517 
0.43375 0.0219464 
0.435 0.021679 
0.43625 0.0213512 
0.4375 0.0209646 
0.43875 0.0205209 
0.44 0.0200219 
0.44125 0.0194697 
0.4425 0.0188663 
0.44375 0.018214 
0.445 0.017515 
0.44625 0.0167718 
0.4475 0.0159869 
0.44875 0.015163 
0.45 0.0143029 
0.45125 0.0134096 
0.4525 0.012486 
0.45375 0.0115354 
0.455 0.0105611 
