# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_sqL_9> 
0 0 
0.00125 6.84271e-05 
0.0025 0.000111792 
0.00375 0.0001315 
0.005 0.000128915 
0.00625 0.000105353 
0.0075 6.20875e-05 
0.00875 3.49619e-07 
0.01 -7.86715e-05 
0.01125 -0.000173828 
0.0125 -0.000284011 
0.01375 -0.000408152 
0.015 -0.00054522 
0.01625 -0.000694223 
0.0175 -0.000854203 
0.01875 -0.00102424 
0.02 -0.00120345 
0.02125 -0.00139099 
0.0225 -0.00158602 
0.02375 -0.00178778 
0.025 -0.0019955 
0.02625 -0.00220848 
0.0275 -0.002426 
0.02875 -0.00264742 
0.03 -0.00287211 
0.03125 -0.00309945 
0.0325 -0.00332889 
0.03375 -0.00355985 
0.035 -0.00379183 
0.03625 -0.00402433 
0.0375 -0.00425688 
0.03875 -0.00448903 
0.04 -0.00472035 
0.04125 -0.00495045 
0.0425 -0.00517894 
0.04375 -0.00540548 
0.045 -0.00562973 
0.04625 -0.00585138 
0.0475 -0.00607012 
0.04875 -0.00628569 
0.05 -0.00649783 
0.05125 -0.0067063 
0.0525 -0.00691089 
0.05375 -0.0071114 
0.055 -0.00730762 
0.05625 -0.00749941 
0.0575 -0.00768661 
0.05875 -0.00786907 
0.06 -0.00804667 
0.06125 -0.00821931 
0.0625 -0.00838688 
0.06375 -0.00854931 
0.065 -0.00870653 
0.06625 -0.00885848 
0.0675 -0.00900511 
0.06875 -0.0091464 
0.07 -0.0092823 
0.07125 -0.00941283 
0.0725 -0.00953796 
0.07375 -0.00965771 
0.075 -0.0097721 
0.07625 -0.00988114 
0.0775 -0.00998489 
0.07875 -0.0100834 
0.08 -0.0101766 
0.08125 -0.0102647 
0.0825 -0.0103477 
0.08375 -0.0104257 
0.085 -0.0104988 
0.08625 -0.010567 
0.0875 -0.0106304 
0.08875 -0.0106891 
0.09 -0.0107432 
0.09125 -0.0107929 
0.0925 -0.0108382 
0.09375 -0.0108792 
0.095 -0.0109161 
0.09625 -0.010949 
0.0975 -0.010978 
0.09875 -0.0110032 
0.1 -0.0110247 
0.10125 -0.0110427 
0.1025 -0.0110574 
0.10375 -0.0110688 
0.105 -0.0110771 
0.10625 -0.0110824 
0.1075 -0.0110848 
0.10875 -0.0110846 
0.11 -0.0110818 
0.11125 -0.0110766 
0.1125 -0.0110691 
0.11375 -0.0110595 
0.115 -0.0110478 
0.11625 -0.0110344 
0.1175 -0.0110192 
0.11875 -0.0110024 
0.12 -0.0109842 
0.12125 -0.0109648 
0.1225 -0.0109441 
0.12375 -0.0109225 
0.125 -0.0108999 
0.12625 -0.0108766 
0.1275 -0.0108527 
0.12875 -0.0108283 
0.13 -0.0108035 
0.13125 -0.0107785 
0.1325 -0.0107534 
0.13375 -0.0107283 
0.135 -0.0107033 
0.13625 -0.0106786 
0.1375 -0.0106542 
0.13875 -0.0106303 
0.14 -0.0106069 
0.14125 -0.0105843 
0.1425 -0.0105624 
0.14375 -0.0105414 
0.145 -0.0105214 
0.14625 -0.0105025 
0.1475 -0.0104847 
0.14875 -0.0104682 
0.15 -0.010453 
0.15125 -0.0104392 
0.1525 -0.0104269 
0.15375 -0.0104162 
0.155 -0.0104071 
0.15625 -0.0103997 
0.1575 -0.0103941 
0.15875 -0.0103903 
0.16 -0.0103884 
0.16125 -0.0103884 
0.1625 -0.0103904 
0.16375 -0.0103944 
0.165 -0.0104004 
0.16625 -0.0104086 
0.1675 -0.0104189 
0.16875 -0.0104313 
0.17 -0.010446 
0.17125 -0.0104628 
0.1725 -0.0104819 
0.17375 -0.0105032 
0.175 -0.0105268 
0.17625 -0.0105527 
0.1775 -0.0105808 
0.17875 -0.0106112 
0.18 -0.0106438 
0.18125 -0.0106787 
0.1825 -0.0107159 
0.18375 -0.0107553 
0.185 -0.0107969 
0.18625 -0.0108407 
0.1875 -0.0108867 
0.18875 -0.0109348 
0.19 -0.0109851 
0.19125 -0.0110374 
0.1925 -0.0110918 
0.19375 -0.0111482 
0.195 -0.0112066 
0.19625 -0.0112669 
0.1975 -0.0113291 
0.19875 -0.0113932 
0.2 -0.011459 
0.20125 -0.0115265 
0.2025 -0.0115957 
0.20375 -0.0116664 
0.205 -0.0117388 
0.20625 -0.0118126 
0.2075 -0.0118878 
0.20875 -0.0119643 
0.21 -0.0120421 
0.21125 -0.0121211 
0.2125 -0.0122012 
0.21375 -0.0122823 
0.215 -0.0123644 
0.21625 -0.0124474 
0.2175 -0.0125311 
0.21875 -0.0126156 
0.22 -0.0127007 
0.22125 -0.0127863 
0.2225 -0.0128723 
0.22375 -0.0129587 
0.225 -0.0130454 
0.22625 -0.0131322 
0.2275 -0.0132192 
0.22875 -0.0133061 
0.23 -0.0133929 
0.23125 -0.0134795 
0.2325 -0.0135657 
0.23375 -0.0136516 
0.235 -0.013737 
0.23625 -0.0138219 
0.2375 -0.013906 
0.23875 -0.0139893 
0.24 -0.0140718 
0.24125 -0.0141533 
0.2425 -0.0142337 
0.24375 -0.014313 
0.245 -0.014391 
0.24625 -0.0144677 
0.2475 -0.0145429 
0.24875 -0.0146165 
0.25 -0.0146886 
0.25125 -0.0147589 
0.2525 -0.0148273 
0.25375 -0.0148939 
0.255 -0.0149585 
0.25625 -0.015021 
0.2575 -0.0150814 
0.25875 -0.0151395 
0.26 -0.0151953 
0.26125 -0.0152486 
0.2625 -0.0152995 
0.26375 -0.0153478 
0.265 -0.0153935 
0.26625 -0.0154364 
0.2675 -0.0154766 
0.26875 -0.0155139 
0.27 -0.0155484 
0.27125 -0.0155798 
0.2725 -0.0156082 
0.27375 -0.0156334 
0.275 -0.0156556 
0.27625 -0.0156745 
0.2775 -0.0156901 
0.27875 -0.0157025 
0.28 -0.0157115 
0.28125 -0.015717 
0.2825 -0.0157192 
0.28375 -0.0157179 
0.285 -0.0157131 
0.28625 -0.0157047 
0.2875 -0.0156928 
0.28875 -0.0156773 
0.29 -0.0156582 
0.29125 -0.0156354 
0.2925 -0.0156091 
0.29375 -0.0155791 
0.295 -0.0155454 
0.29625 -0.0155081 
0.2975 -0.0154672 
0.29875 -0.0154226 
0.3 -0.0153743 
0.30125 -0.0153225 
0.3025 -0.015267 
0.30375 -0.015208 
0.305 -0.0151454 
0.30625 -0.0150792 
0.3075 -0.0150096 
0.30875 -0.0149365 
0.31 -0.0148599 
0.31125 -0.01478 
0.3125 -0.0146967 
0.31375 -0.0146102 
0.315 -0.0145204 
0.31625 -0.0144274 
0.3175 -0.0143314 
0.31875 -0.0142323 
0.32 -0.0141302 
0.32125 -0.0140252 
0.3225 -0.0139174 
0.32375 -0.0138068 
0.325 -0.0136936 
0.32625 -0.0135779 
0.3275 -0.0134596 
0.32875 -0.013339 
0.33 -0.0132161 
0.33125 -0.0130911 
0.3325 -0.0129639 
0.33375 -0.0128348 
0.335 -0.0127039 
0.33625 -0.0125713 
0.3375 -0.012437 
0.33875 -0.0123012 
0.34 -0.0121641 
0.34125 -0.0120258 
0.3425 -0.0118864 
0.34375 -0.011746 
0.345 -0.0116047 
0.34625 -0.0114628 
0.3475 -0.0113204 
0.34875 -0.0111776 
0.35 -0.0110345 
0.35125 -0.0108913 
