# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_sqL_0> 
0 0 
0.00125 -2.35652e-06 
0.0025 -3.63395e-06 
0.00375 -3.95397e-06 
0.005 -3.42868e-06 
0.00625 -2.16093e-06 
0.0075 -2.44565e-07 
0.00875 2.23534e-06 
0.01 5.20219e-06 
0.01125 8.58766e-06 
0.0125 1.23314e-05 
0.01375 1.63808e-05 
0.015 2.06908e-05 
0.01625 2.52236e-05 
0.0175 2.99484e-05 
0.01875 3.48412e-05 
0.02 3.98847e-05 
0.02125 4.50678e-05 
0.0225 5.03856e-05 
0.02375 5.58391e-05 
0.025 6.1435e-05 
0.02625 6.71855e-05 
0.0275 7.31081e-05 
0.02875 7.92252e-05 
0.03 8.55643e-05 
0.03125 9.21575e-05 
0.0325 9.90412e-05 
0.03375 0.000106256 
0.035 0.000113848 
0.03625 0.000121864 
0.0375 0.000130358 
0.03875 0.000139385 
0.04 0.000149006 
0.04125 0.000159282 
0.0425 0.00017028 
0.04375 0.000182067 
0.045 0.000194714 
0.04625 0.000208296 
0.0475 0.000222888 
0.04875 0.000238569 
0.05 0.000255419 
0.05125 0.000273519 
0.0525 0.000292953 
0.05375 0.000313807 
0.055 0.000336168 
0.05625 0.000360124 
0.0575 0.000385764 
0.05875 0.000413179 
0.06 0.000442459 
0.06125 0.000473697 
0.0625 0.000506985 
0.06375 0.000542417 
0.065 0.000580086 
0.06625 0.000620086 
0.0675 0.00066251 
0.06875 0.000707453 
0.07 0.000755009 
0.07125 0.000805272 
0.0725 0.000858334 
0.07375 0.000914289 
0.075 0.00097323 
0.07625 0.00103525 
0.0775 0.00110044 
0.07875 0.00116888 
0.08 0.00124068 
0.08125 0.00131591 
0.0825 0.00139467 
0.08375 0.00147704 
0.085 0.00156311 
0.08625 0.00165296 
0.0875 0.00174667 
0.08875 0.00184432 
0.09 0.001946 
0.09125 0.00205179 
0.0925 0.00216175 
0.09375 0.00227596 
0.095 0.0023945 
0.09625 0.00251743 
0.0975 0.00264483 
0.09875 0.00277677 
0.1 0.0029133 
0.10125 0.00305449 
0.1025 0.0032004 
0.10375 0.00335109 
0.105 0.00350661 
0.10625 0.00366702 
0.1075 0.00383238 
0.10875 0.00400272 
0.11 0.0041781 
0.11125 0.00435856 
0.1125 0.00454415 
0.11375 0.00473489 
0.115 0.00493083 
0.11625 0.00513201 
0.1175 0.00533845 
0.11875 0.00555018 
0.12 0.00576723 
0.12125 0.00598963 
0.1225 0.00621738 
0.12375 0.00645052 
0.125 0.00668905 
0.12625 0.00693299 
0.1275 0.00718235 
0.12875 0.00743714 
0.13 0.00769735 
0.13125 0.00796299 
0.1325 0.00823406 
0.13375 0.00851055 
0.135 0.00879246 
0.13625 0.00907977 
0.1375 0.00937248 
0.13875 0.00967056 
0.14 0.009974 
0.14125 0.0102828 
0.1425 0.0105969 
0.14375 0.0109162 
0.145 0.0112408 
0.14625 0.0115707 
0.1475 0.0119057 
0.14875 0.0122459 
0.15 0.0125911 
0.15125 0.0129415 
0.1525 0.0132968 
0.15375 0.0136571 
0.155 0.0140223 
0.15625 0.0143924 
0.1575 0.0147673 
0.15875 0.0151469 
0.16 0.0155311 
0.16125 0.01592 
0.1625 0.0163134 
0.16375 0.0167113 
0.165 0.0171135 
0.16625 0.0175201 
0.1675 0.0179309 
0.16875 0.0183459 
0.17 0.0187649 
0.17125 0.0191879 
0.1725 0.0196148 
0.17375 0.0200455 
0.175 0.0204799 
0.17625 0.020918 
0.1775 0.0213595 
0.17875 0.0218045 
0.18 0.0222527 
0.18125 0.0227042 
0.1825 0.0231588 
0.18375 0.0236164 
0.185 0.0240768 
0.18625 0.0245401 
0.1875 0.0250059 
0.18875 0.0254744 
0.19 0.0259452 
0.19125 0.0264183 
0.1925 0.0268937 
0.19375 0.027371 
0.195 0.0278503 
0.19625 0.0283314 
0.1975 0.0288142 
0.19875 0.0292985 
0.2 0.0297842 
0.20125 0.0302713 
0.2025 0.0307594 
0.20375 0.0312486 
0.205 0.0317386 
0.20625 0.0322294 
0.2075 0.0327207 
0.20875 0.0332126 
0.21 0.0337047 
0.21125 0.034197 
0.2125 0.0346894 
0.21375 0.0351816 
0.215 0.0356736 
0.21625 0.0361651 
0.2175 0.0366561 
0.21875 0.0371465 
0.22 0.0376359 
0.22125 0.0381244 
0.2225 0.0386117 
0.22375 0.0390978 
0.225 0.0395824 
0.22625 0.0400654 
0.2275 0.0405467 
0.22875 0.0410261 
0.23 0.0415034 
0.23125 0.0419786 
0.2325 0.0424514 
0.23375 0.0429217 
0.235 0.0433894 
0.23625 0.0438543 
0.2375 0.0443162 
0.23875 0.0447751 
0.24 0.0452307 
0.24125 0.045683 
0.2425 0.0461317 
0.24375 0.0465767 
0.245 0.0470179 
0.24625 0.0474551 
0.2475 0.0478882 
0.24875 0.048317 
0.25 0.0487414 
0.25125 0.0491613 
0.2525 0.0495764 
0.25375 0.0499867 
0.255 0.0503921 
0.25625 0.0507923 
0.2575 0.0511872 
0.25875 0.0515768 
0.26 0.0519608 
0.26125 0.0523392 
0.2625 0.0527118 
0.26375 0.0530784 
0.265 0.053439 
0.26625 0.0537934 
0.2675 0.0541415 
0.26875 0.0544831 
0.27 0.0548182 
0.27125 0.0551466 
0.2725 0.0554681 
0.27375 0.0557828 
0.275 0.0560904 
0.27625 0.0563909 
0.2775 0.0566841 
0.27875 0.0569699 
0.28 0.0572482 
0.28125 0.057519 
0.2825 0.057782 
0.28375 0.0580373 
0.285 0.0582846 
0.28625 0.058524 
0.2875 0.0587553 
0.28875 0.0589784 
0.29 0.0591932 
0.29125 0.0593997 
0.2925 0.0595977 
0.29375 0.0597872 
0.295 0.0599681 
0.29625 0.0601403 
0.2975 0.0603038 
0.29875 0.0604585 
0.3 0.0606042 
0.30125 0.060741 
0.3025 0.0608688 
0.30375 0.0609875 
0.305 0.0610971 
0.30625 0.0611975 
0.3075 0.0612886 
0.30875 0.0613704 
0.31 0.061443 
0.31125 0.0615061 
0.3125 0.0615598 
0.31375 0.0616041 
0.315 0.0616389 
0.31625 0.0616641 
0.3175 0.0616799 
0.31875 0.0616861 
0.32 0.0616826 
0.32125 0.0616696 
0.3225 0.061647 
0.32375 0.0616148 
0.325 0.0615729 
0.32625 0.0615215 
0.3275 0.0614603 
0.32875 0.0613896 
0.33 0.0613092 
0.33125 0.0612193 
0.3325 0.0611197 
0.33375 0.0610106 
0.335 0.0608918 
0.33625 0.0607636 
0.3375 0.0606259 
0.33875 0.0604786 
0.34 0.060322 
0.34125 0.0601559 
0.3425 0.0599804 
0.34375 0.0597957 
0.345 0.0596016 
0.34625 0.0593984 
0.3475 0.0591859 
0.34875 0.0589644 
0.35 0.0587337 
0.35125 0.0584941 
0.3525 0.0582456 
0.35375 0.0579882 
0.355 0.0577221 
0.35625 0.0574472 
0.3575 0.0571637 
0.35875 0.0568716 
0.36 0.0565711 
0.36125 0.0562623 
0.3625 0.0559451 
0.36375 0.0556198 
0.365 0.0552864 
0.36625 0.054945 
0.3675 0.0545957 
0.36875 0.0542386 
0.37 0.0538739 
0.37125 0.0535017 
0.3725 0.0531219 
0.37375 0.0527349 
0.375 0.0523407 
0.37625 0.0519394 
0.3775 0.0515311 
0.37875 0.051116 
0.38 0.0506942 
0.38125 0.0502659 
0.3825 0.0498311 
0.38375 0.04939 
0.385 0.0489428 
0.38625 0.0484895 
0.3875 0.0480304 
0.38875 0.0475655 
0.39 0.0470951 
0.39125 0.0466192 
0.3925 0.046138 
0.39375 0.0456517 
0.395 0.0451604 
0.39625 0.0446643 
0.3975 0.0441635 
0.39875 0.0436582 
0.4 0.0431486 
0.40125 0.0426347 
0.4025 0.0421168 
0.40375 0.041595 
0.405 0.0410695 
0.40625 0.0405404 
0.4075 0.0400079 
0.40875 0.0394722 
0.41 0.0389334 
0.41125 0.0383917 
0.4125 0.0378472 
0.41375 0.0373002 
0.415 0.0367507 
0.41625 0.036199 
0.4175 0.0356451 
0.41875 0.0350893 
0.42 0.0345318 
0.42125 0.0339726 
0.4225 0.0334119 
0.42375 0.0328499 
0.425 0.0322867 
0.42625 0.0317226 
0.4275 0.0311576 
0.42875 0.0305919 
0.43 0.0300256 
0.43125 0.0294589 
0.4325 0.0288919 
0.43375 0.0283248 
0.435 0.0277577 
0.43625 0.0271908 
0.4375 0.0266241 
0.43875 0.0260579 
0.44 0.0254921 
0.44125 0.024927 
0.4425 0.0243627 
0.44375 0.0237993 
0.445 0.0232368 
0.44625 0.0226754 
0.4475 0.0221153 
0.44875 0.0215564 
0.45 0.0209989 
0.45125 0.0204429 
0.4525 0.0198884 
0.45375 0.0193355 
0.455 0.0187844 
0.45625 0.0182349 
0.4575 0.0176873 
0.45875 0.0171416 
0.46 0.0165977 
0.46125 0.0160558 
0.4625 0.0155158 
0.46375 0.0149779 
0.465 0.0144419 
0.46625 0.0139079 
0.4675 0.013376 
0.46875 0.012846 
0.47 0.0123179 
0.47125 0.0117919 
0.4725 0.0112677 
0.47375 0.0107454 
0.475 0.0102248 
0.47625 0.009706 
0.4775 0.00918882 
0.47875 0.0086732 
0.48 0.00815903 
0.48125 0.0076462 
0.4825 0.00713459 
0.48375 0.00662405 
0.485 0.00611445 
0.48625 0.00560562 
0.4875 0.00509739 
0.48875 0.00458957 
0.49 0.00408197 
0.49125 0.00357436 
0.4925 0.00306652 
0.49375 0.0025582 
0.495 0.00204916 
0.49625 0.00153911 
0.4975 0.00102778 
0.49875 0.000514846 
0.5 9.72486e-13 


0.5 9.72486e-13 
0.50125 -0.000514846 
0.5025 -0.00102778 
0.50375 -0.00153911 
0.505 -0.00204916 
0.50625 -0.0025582 
0.5075 -0.00306652 
0.50875 -0.00357436 
0.51 -0.00408197 
0.51125 -0.00458957 
0.5125 -0.00509739 
0.51375 -0.00560562 
0.515 -0.00611445 
0.51625 -0.00662405 
0.5175 -0.00713459 
0.51875 -0.0076462 
0.52 -0.00815903 
0.52125 -0.0086732 
0.5225 -0.00918882 
0.52375 -0.009706 
0.525 -0.0102248 
0.52625 -0.0107454 
0.5275 -0.0112677 
0.52875 -0.0117919 
0.53 -0.0123179 
0.53125 -0.012846 
0.5325 -0.013376 
0.53375 -0.0139079 
0.535 -0.0144419 
0.53625 -0.0149779 
0.5375 -0.0155158 
0.53875 -0.0160558 
0.54 -0.0165977 
0.54125 -0.0171416 
0.5425 -0.0176873 
0.54375 -0.0182349 
0.545 -0.0187844 
0.54625 -0.0193355 
0.5475 -0.0198884 
0.54875 -0.0204429 
0.55 -0.0209989 
0.55125 -0.0215564 
0.5525 -0.0221153 
0.55375 -0.0226754 
0.555 -0.0232368 
0.55625 -0.0237993 
0.5575 -0.0243627 
0.55875 -0.024927 
0.56 -0.0254921 
0.56125 -0.0260579 
0.5625 -0.0266241 
0.56375 -0.0271908 
0.565 -0.0277577 
0.56625 -0.0283248 
0.5675 -0.0288919 
0.56875 -0.0294589 
0.57 -0.0300256 
0.57125 -0.0305919 
0.5725 -0.0311576 
0.57375 -0.0317226 
0.575 -0.0322867 
0.57625 -0.0328499 
0.5775 -0.0334119 
0.57875 -0.0339726 
0.58 -0.0345318 
0.58125 -0.0350893 
0.5825 -0.0356451 
0.58375 -0.036199 
0.585 -0.0367507 
0.58625 -0.0373002 
0.5875 -0.0378472 
0.58875 -0.0383917 
0.59 -0.0389334 
0.59125 -0.0394722 
0.5925 -0.0400079 
0.59375 -0.0405404 
0.595 -0.0410695 
0.59625 -0.041595 
0.5975 -0.0421168 
0.59875 -0.0426347 
0.6 -0.0431486 
0.60125 -0.0436582 
0.6025 -0.0441635 
0.60375 -0.0446643 
0.605 -0.0451604 
0.60625 -0.0456517 
0.6075 -0.046138 
0.60875 -0.0466192 
0.61 -0.0470951 
0.61125 -0.0475655 
0.6125 -0.0480304 
0.61375 -0.0484895 
0.615 -0.0489428 
0.61625 -0.04939 
0.6175 -0.0498311 
0.61875 -0.0502659 
0.62 -0.0506942 
0.62125 -0.051116 
0.6225 -0.0515311 
0.62375 -0.0519394 
0.625 -0.0523407 
0.62625 -0.0527349 
0.6275 -0.0531219 
0.62875 -0.0535017 
0.63 -0.0538739 
0.63125 -0.0542386 
0.6325 -0.0545957 
0.63375 -0.054945 
0.635 -0.0552864 
0.63625 -0.0556198 
0.6375 -0.0559451 
0.63875 -0.0562623 
0.64 -0.0565711 
0.64125 -0.0568716 
0.6425 -0.0571637 
0.64375 -0.0574472 
0.645 -0.0577221 
0.64625 -0.0579882 
0.6475 -0.0582456 
0.64875 -0.0584941 
0.65 -0.0587337 
0.65125 -0.0589644 
0.6525 -0.0591859 
0.65375 -0.0593984 
0.655 -0.0596016 
0.65625 -0.0597957 
0.6575 -0.0599804 
0.65875 -0.0601559 
0.66 -0.060322 
0.66125 -0.0604786 
0.6625 -0.0606259 
0.66375 -0.0607636 
0.665 -0.0608918 
0.66625 -0.0610106 
0.6675 -0.0611197 
0.66875 -0.0612193 
0.67 -0.0613092 
0.67125 -0.0613896 
0.6725 -0.0614603 
0.67375 -0.0615215 
0.675 -0.0615729 
0.67625 -0.0616148 
0.6775 -0.061647 
0.67875 -0.0616696 
0.68 -0.0616826 
0.68125 -0.0616861 
0.6825 -0.0616799 
0.68375 -0.0616641 
0.685 -0.0616389 
0.68625 -0.0616041 
0.6875 -0.0615598 
0.68875 -0.0615061 
0.69 -0.061443 
0.69125 -0.0613704 
0.6925 -0.0612886 
0.69375 -0.0611975 
0.695 -0.0610971 
0.69625 -0.0609875 
0.6975 -0.0608688 
0.69875 -0.060741 
0.7 -0.0606042 
0.70125 -0.0604585 
0.7025 -0.0603038 
0.70375 -0.0601403 
0.705 -0.0599681 
0.70625 -0.0597872 
0.7075 -0.0595977 
0.70875 -0.0593997 
0.71 -0.0591932 
0.71125 -0.0589784 
0.7125 -0.0587553 
0.71375 -0.058524 
0.715 -0.0582846 
