# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_3> 
0 0 
0.00125 0.00778084 
0.0025 0.0155256 
0.00375 0.0232324 
0.005 0.0308994 
0.00625 0.0385247 
0.0075 0.0461065 
0.00875 0.0536431 
0.01 0.0611326 
0.01125 0.0685735 
0.0125 0.075964 
0.01375 0.0833025 
0.015 0.0905874 
0.01625 0.0978171 
0.0175 0.10499 
0.01875 0.112105 
0.02 0.11916 
0.02125 0.126153 
0.0225 0.133084 
0.02375 0.139951 
0.025 0.146753 
0.02625 0.153488 
0.0275 0.160154 
0.02875 0.166752 
0.03 0.173279 
0.03125 0.179734 
0.0325 0.186116 
0.03375 0.192424 
0.035 0.198657 
0.03625 0.204813 
0.0375 0.210892 
0.03875 0.216892 
0.04 0.222813 
0.04125 0.228654 
0.0425 0.234412 
0.04375 0.240089 
0.045 0.245682 
0.04625 0.251191 
0.0475 0.256614 
0.04875 0.261952 
0.05 0.267203 
0.05125 0.272367 
0.0525 0.277442 
0.05375 0.282428 
0.055 0.287325 
0.05625 0.292131 
0.0575 0.296846 
0.05875 0.30147 
0.06 0.306001 
0.06125 0.310439 
0.0625 0.314784 
0.06375 0.319035 
0.065 0.323191 
0.06625 0.327253 
0.0675 0.331219 
0.06875 0.335089 
0.07 0.338863 
0.07125 0.34254 
0.0725 0.34612 
0.07375 0.349603 
0.075 0.352988 
0.07625 0.356275 
0.0775 0.359464 
0.07875 0.362554 
0.08 0.365545 
0.08125 0.368437 
0.0825 0.37123 
0.08375 0.373924 
0.085 0.376518 
0.08625 0.379012 
0.0875 0.381407 
0.08875 0.383702 
0.09 0.385896 
0.09125 0.387991 
0.0925 0.389985 
0.09375 0.39188 
0.095 0.393674 
0.09625 0.395369 
0.0975 0.396963 
0.09875 0.398457 
0.1 0.399852 
0.10125 0.401147 
0.1025 0.402342 
0.10375 0.403438 
0.105 0.404434 
0.10625 0.405331 
0.1075 0.406129 
0.10875 0.406828 
0.11 0.407429 
0.11125 0.407932 
0.1125 0.408336 
0.11375 0.408643 
0.115 0.408852 
0.11625 0.408964 
0.1175 0.408979 
0.11875 0.408898 
0.12 0.408721 
0.12125 0.408447 
0.1225 0.408079 
0.12375 0.407615 
0.125 0.407057 
0.12625 0.406405 
0.1275 0.405659 
0.12875 0.40482 
0.13 0.403888 
0.13125 0.402864 
0.1325 0.401749 
0.13375 0.400542 
0.135 0.399245 
0.13625 0.397857 
0.1375 0.39638 
0.13875 0.394814 
0.14 0.39316 
0.14125 0.391418 
0.1425 0.389589 
0.14375 0.387673 
0.145 0.385672 
0.14625 0.383585 
0.1475 0.381414 
0.14875 0.37916 
0.15 0.376822 
0.15125 0.374401 
0.1525 0.371899 
0.15375 0.369316 
0.155 0.366653 
0.15625 0.363911 
0.1575 0.361089 
0.15875 0.35819 
0.16 0.355214 
0.16125 0.352161 
0.1625 0.349033 
0.16375 0.345831 
0.165 0.342554 
0.16625 0.339204 
0.1675 0.335783 
0.16875 0.33229 
0.17 0.328726 
0.17125 0.325093 
0.1725 0.321392 
0.17375 0.317622 
0.175 0.313786 
0.17625 0.309884 
0.1775 0.305917 
0.17875 0.301886 
0.18 0.297791 
0.18125 0.293635 
0.1825 0.289417 
0.18375 0.285139 
0.185 0.280802 
0.18625 0.276407 
0.1875 0.271954 
0.18875 0.267445 
0.19 0.262881 
0.19125 0.258263 
0.1925 0.253591 
0.19375 0.248867 
0.195 0.244092 
0.19625 0.239267 
0.1975 0.234393 
0.19875 0.229471 
0.2 0.224502 
0.20125 0.219486 
0.2025 0.214427 
0.20375 0.209323 
0.205 0.204177 
0.20625 0.198989 
0.2075 0.19376 
0.20875 0.188493 
0.21 0.183187 
0.21125 0.177843 
0.2125 0.172464 
0.21375 0.16705 
0.215 0.161602 
0.21625 0.156121 
0.2175 0.150609 
0.21875 0.145067 
0.22 0.139495 
0.22125 0.133895 
0.2225 0.128268 
0.22375 0.122615 
0.225 0.116937 
0.22625 0.111236 
0.2275 0.105513 
0.22875 0.0997682 
0.23 0.0940035 
0.23125 0.08822 
0.2325 0.0824187 
0.23375 0.0766009 
0.235 0.0707677 
0.23625 0.0649203 
0.2375 0.0590599 
0.23875 0.0531877 
0.24 0.0473048 
0.24125 0.0414125 
0.2425 0.0355118 
0.24375 0.0296041 
0.245 0.0236904 
0.24625 0.0177719 
0.2475 0.0118499 
0.24875 0.00592555 
0.25 3.747e-16 
0.25125 -0.00592555 
0.2525 -0.0118499 
0.25375 -0.0177719 
0.255 -0.0236904 
0.25625 -0.0296041 
0.2575 -0.0355118 
0.25875 -0.0414125 
0.26 -0.0473048 
0.26125 -0.0531877 
0.2625 -0.0590599 
0.26375 -0.0649203 
0.265 -0.0707677 
0.26625 -0.0766009 
0.2675 -0.0824187 
0.26875 -0.08822 
0.27 -0.0940035 
0.27125 -0.0997682 
0.2725 -0.105513 
0.27375 -0.111236 
0.275 -0.116937 
0.27625 -0.122615 
0.2775 -0.128268 
0.27875 -0.133895 
0.28 -0.139495 
0.28125 -0.145067 
0.2825 -0.150609 
0.28375 -0.156121 
0.285 -0.161602 
0.28625 -0.16705 
0.2875 -0.172464 
0.28875 -0.177843 
0.29 -0.183187 
0.29125 -0.188493 
0.2925 -0.19376 
0.29375 -0.198989 
0.295 -0.204177 
0.29625 -0.209323 
0.2975 -0.214427 
0.29875 -0.219486 
0.3 -0.224502 
0.30125 -0.229471 
0.3025 -0.234393 
0.30375 -0.239267 
0.305 -0.244092 
0.30625 -0.248867 
0.3075 -0.253591 
0.30875 -0.258263 
0.31 -0.262881 
0.31125 -0.267445 
0.3125 -0.271954 
0.31375 -0.276407 
0.315 -0.280802 
0.31625 -0.285139 
0.3175 -0.289417 
0.31875 -0.293635 
0.32 -0.297791 
0.32125 -0.301886 
0.3225 -0.305917 
0.32375 -0.309884 
0.325 -0.313786 
0.32625 -0.317622 
0.3275 -0.321392 
0.32875 -0.325093 
0.33 -0.328726 
0.33125 -0.33229 
0.3325 -0.335783 
0.33375 -0.339204 
0.335 -0.342554 
0.33625 -0.345831 
0.3375 -0.349033 
0.33875 -0.352161 
0.34 -0.355214 
0.34125 -0.35819 
0.3425 -0.361089 
0.34375 -0.363911 
0.345 -0.366653 
0.34625 -0.369316 
0.3475 -0.371899 
0.34875 -0.374401 
0.35 -0.376822 
0.35125 -0.37916 
0.3525 -0.381414 
0.35375 -0.383585 
0.355 -0.385672 
0.35625 -0.387673 
0.3575 -0.389589 
0.35875 -0.391418 
0.36 -0.39316 
0.36125 -0.394814 
0.3625 -0.39638 
0.36375 -0.397857 
0.365 -0.399245 
0.36625 -0.400542 
0.3675 -0.401749 
0.36875 -0.402864 
0.37 -0.403888 
0.37125 -0.40482 
0.3725 -0.405659 
0.37375 -0.406405 
0.375 -0.407057 
0.37625 -0.407615 
