# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_sqL_4> 
0 0 
0.00125 0.00944001 
0.0025 0.0188231 
0.00375 0.028146 
0.005 0.0374053 
0.00625 0.0465977 
0.0075 0.0557201 
0.00875 0.0647693 
0.01 0.0737424 
0.01125 0.0826363 
0.0125 0.0914482 
0.01375 0.100175 
0.015 0.108815 
0.01625 0.117364 
0.0175 0.12582 
0.01875 0.134181 
0.02 0.142444 
0.02125 0.150607 
0.0225 0.158667 
0.02375 0.166622 
0.025 0.174471 
0.02625 0.18221 
0.0275 0.189837 
0.02875 0.197352 
0.03 0.204751 
0.03125 0.212033 
0.0325 0.219196 
0.03375 0.226239 
0.035 0.233159 
0.03625 0.239955 
0.0375 0.246626 
0.03875 0.253169 
0.04 0.259584 
0.04125 0.265869 
0.0425 0.272023 
0.04375 0.278045 
0.045 0.283932 
0.04625 0.289685 
0.0475 0.295301 
0.04875 0.300781 
0.05 0.306123 
0.05125 0.311325 
0.0525 0.316388 
0.05375 0.321309 
0.055 0.32609 
0.05625 0.330728 
0.0575 0.335223 
0.05875 0.339575 
0.06 0.343782 
0.06125 0.347845 
0.0625 0.351763 
0.06375 0.355535 
0.065 0.359161 
0.06625 0.362641 
0.0675 0.365974 
0.06875 0.369161 
0.07 0.3722 
0.07125 0.375093 
0.0725 0.377838 
0.07375 0.380436 
0.075 0.382886 
0.07625 0.385189 
0.0775 0.387345 
0.07875 0.389354 
0.08 0.391216 
0.08125 0.392931 
0.0825 0.3945 
0.08375 0.395922 
0.085 0.397199 
0.08625 0.39833 
0.0875 0.399316 
0.08875 0.400157 
0.09 0.400853 
0.09125 0.401406 
0.0925 0.401816 
0.09375 0.402084 
0.095 0.402209 
0.09625 0.402193 
0.0975 0.402036 
0.09875 0.401739 
0.1 0.401304 
0.10125 0.400729 
0.1025 0.400018 
0.10375 0.399169 
0.105 0.398185 
0.10625 0.397066 
0.1075 0.395813 
0.10875 0.394427 
0.11 0.392909 
0.11125 0.39126 
0.1125 0.389482 
0.11375 0.387574 
0.115 0.38554 
0.11625 0.383378 
0.1175 0.381091 
0.11875 0.378681 
0.12 0.376147 
0.12125 0.373492 
0.1225 0.370716 
0.12375 0.367822 
0.125 0.36481 
0.12625 0.361681 
0.1275 0.358438 
0.12875 0.355081 
0.13 0.351612 
0.13125 0.348033 
0.1325 0.344344 
0.13375 0.340547 
0.135 0.336645 
0.13625 0.332637 
0.1375 0.328527 
0.13875 0.324315 
0.14 0.320003 
0.14125 0.315592 
0.1425 0.311085 
0.14375 0.306483 
0.145 0.301787 
0.14625 0.297 
0.1475 0.292122 
0.14875 0.287157 
0.15 0.282104 
0.15125 0.276966 
0.1525 0.271746 
0.15375 0.266444 
0.155 0.261062 
0.15625 0.255602 
0.1575 0.250067 
0.15875 0.244457 
0.16 0.238774 
0.16125 0.233021 
0.1625 0.227199 
0.16375 0.221311 
0.165 0.215357 
0.16625 0.20934 
0.1675 0.203262 
0.16875 0.197124 
0.17 0.190929 
0.17125 0.184679 
0.1725 0.178374 
0.17375 0.172018 
0.175 0.165612 
0.17625 0.159159 
0.1775 0.152659 
0.17875 0.146115 
0.18 0.13953 
0.18125 0.132904 
0.1825 0.12624 
0.18375 0.11954 
0.185 0.112805 
0.18625 0.106039 
0.1875 0.0992422 
0.18875 0.0924171 
0.19 0.0855657 
0.19125 0.07869 
0.1925 0.071792 
0.19375 0.0648735 
0.195 0.0579367 
0.19625 0.0509835 
0.1975 0.0440158 
0.19875 0.0370356 
0.2 0.030045 
0.20125 0.0230459 
0.2025 0.0160402 
0.20375 0.00903 
0.205 0.00201717 
0.20625 -0.00499629 
0.2075 -0.0120084 
0.20875 -0.0190173 
0.21 -0.0260209 
0.21125 -0.0330173 
0.2125 -0.0400047 
0.21375 -0.0469809 
0.215 -0.0539442 
0.21625 -0.0608925 
0.2175 -0.067824 
0.21875 -0.0747368 
0.22 -0.0816289 
0.22125 -0.0884984 
0.2225 -0.0953435 
0.22375 -0.102162 
0.225 -0.108953 
0.22625 -0.115713 
0.2275 -0.122442 
0.22875 -0.129137 
0.23 -0.135796 
0.23125 -0.142418 
0.2325 -0.149001 
0.23375 -0.155542 
0.235 -0.162041 
0.23625 -0.168495 
0.2375 -0.174903 
0.23875 -0.181263 
0.24 -0.187573 
0.24125 -0.193831 
0.2425 -0.200036 
0.24375 -0.206186 
0.245 -0.212279 
0.24625 -0.218313 
0.2475 -0.224288 
0.24875 -0.230201 
0.25 -0.236051 
0.25125 -0.241836 
0.2525 -0.247554 
0.25375 -0.253204 
0.255 -0.258784 
0.25625 -0.264294 
0.2575 -0.26973 
0.25875 -0.275092 
0.26 -0.280379 
0.26125 -0.285588 
0.2625 -0.290718 
0.26375 -0.295768 
0.265 -0.300737 
0.26625 -0.305622 
0.2675 -0.310424 
0.26875 -0.315139 
0.27 -0.319768 
0.27125 -0.324308 
0.2725 -0.328758 
0.27375 -0.333117 
0.275 -0.337384 
0.27625 -0.341558 
0.2775 -0.345636 
0.27875 -0.349619 
0.28 -0.353505 
0.28125 -0.357293 
0.2825 -0.360981 
0.28375 -0.364568 
0.285 -0.368054 
0.28625 -0.371438 
0.2875 -0.374718 
0.28875 -0.377893 
0.29 -0.380962 
0.29125 -0.383925 
0.2925 -0.38678 
0.29375 -0.389527 
0.295 -0.392164 
0.29625 -0.394691 
0.2975 -0.397107 
0.29875 -0.399412 
0.3 -0.401603 
0.30125 -0.403681 
0.3025 -0.405645 
0.30375 -0.407495 
0.305 -0.409228 
0.30625 -0.410846 
0.3075 -0.412347 
0.30875 -0.41373 
0.31 -0.414996 
0.31125 -0.416143 
0.3125 -0.417171 
0.31375 -0.41808 
0.315 -0.418868 
0.31625 -0.419537 
0.3175 -0.420085 
0.31875 -0.420512 
0.32 -0.420817 
0.32125 -0.421001 
0.3225 -0.421063 
0.32375 -0.421002 
0.325 -0.42082 
0.32625 -0.420515 
0.3275 -0.420087 
0.32875 -0.419536 
0.33 -0.418863 
0.33125 -0.418066 
0.3325 -0.417147 
0.33375 -0.416105 
0.335 -0.41494 
0.33625 -0.413653 
0.3375 -0.412242 
0.33875 -0.41071 
0.34 -0.409055 
0.34125 -0.407278 
0.3425 -0.405379 
0.34375 -0.403359 
0.345 -0.401217 
0.34625 -0.398955 
0.3475 -0.396572 
0.34875 -0.394069 
0.35 -0.391447 
0.35125 -0.388706 
0.3525 -0.385846 
0.35375 -0.382868 
0.355 -0.379773 
0.35625 -0.376561 
0.3575 -0.373234 
0.35875 -0.369791 
0.36 -0.366233 
0.36125 -0.362562 
0.3625 -0.358778 
0.36375 -0.354881 
0.365 -0.350874 
0.36625 -0.346756 
0.3675 -0.342529 
0.36875 -0.338194 
0.37 -0.333752 
0.37125 -0.329203 
0.3725 -0.32455 
0.37375 -0.319793 
0.375 -0.314933 
0.37625 -0.309972 
0.3775 -0.30491 
0.37875 -0.29975 
0.38 -0.294493 
0.38125 -0.289139 
0.3825 -0.283691 
0.38375 -0.27815 
0.385 -0.272517 
0.38625 -0.266794 
0.3875 -0.260983 
0.38875 -0.255085 
0.39 -0.249101 
0.39125 -0.243035 
0.3925 -0.236886 
0.39375 -0.230658 
0.395 -0.224352 
0.39625 -0.217969 
0.3975 -0.211512 
0.39875 -0.204983 
0.4 -0.198384 
0.40125 -0.191716 
0.4025 -0.184982 
0.40375 -0.178185 
0.405 -0.171325 
0.40625 -0.164405 
0.4075 -0.157428 
0.40875 -0.150396 
0.41 -0.143311 
0.41125 -0.136176 
0.4125 -0.128993 
0.41375 -0.121764 
0.415 -0.114491 
0.41625 -0.107179 
0.4175 -0.0998281 
0.41875 -0.0924421 
0.42 -0.0850235 
0.42125 -0.0775748 
0.4225 -0.070099 
0.42375 -0.0625987 
0.425 -0.0550768 
0.42625 -0.0475362 
0.4275 -0.0399799 
0.42875 -0.0324107 
0.43 -0.0248317 
0.43125 -0.017246 
0.4325 -0.00965663 
0.43375 -0.00206672 
0.435 0.00552052 
0.43625 0.0131019 
0.4375 0.0206741 
0.43875 0.0282338 
0.44 0.0357776 
0.44125 0.0433023 
0.4425 0.0508043 
0.44375 0.0582801 
0.445 0.0657262 
0.44625 0.0731391 
0.4475 0.080515 
0.44875 0.0878504 
0.45 0.0951416 
0.45125 0.102385 
0.4525 0.109576 
0.45375 0.116712 
0.455 0.123788 
0.45625 0.130801 
0.4575 0.137746 
0.45875 0.14462 
0.46 0.151418 
0.46125 0.158137 
0.4625 0.164772 
0.46375 0.171319 
0.465 0.177774 
0.46625 0.184132 
0.4675 0.19039 
0.46875 0.196542 
0.47 0.202585 
0.47125 0.208514 
0.4725 0.214325 
0.47375 0.220012 
0.475 0.225571 
0.47625 0.230999 
0.4775 0.236289 
0.47875 0.241438 
0.48 0.24644 
0.48125 0.251291 
0.4825 0.255986 
0.48375 0.260519 
0.485 0.264887 
0.48625 0.269084 
0.4875 0.273105 
0.48875 0.276944 
0.49 0.280598 
0.49125 0.28406 
0.4925 0.287326 
0.49375 0.290389 
0.495 0.293246 
0.49625 0.29589 
0.4975 0.298316 
0.49875 0.300519 
0.5 0.302494 


0.5 0.302494 
0.50125 0.300519 
0.5025 0.298316 
0.50375 0.29589 
0.505 0.293246 
0.50625 0.290389 
0.5075 0.287326 
0.50875 0.28406 
0.51 0.280598 
0.51125 0.276944 
0.5125 0.273105 
0.51375 0.269084 
0.515 0.264887 
0.51625 0.260519 
0.5175 0.255986 
0.51875 0.251291 
0.52 0.24644 
0.52125 0.241438 
0.5225 0.236289 
0.52375 0.230999 
0.525 0.225571 
0.52625 0.220012 
0.5275 0.214325 
0.52875 0.208514 
0.53 0.202585 
0.53125 0.196542 
0.5325 0.19039 
0.53375 0.184132 
0.535 0.177774 
0.53625 0.171319 
0.5375 0.164772 
0.53875 0.158137 
0.54 0.151418 
0.54125 0.14462 
0.5425 0.137746 
0.54375 0.130801 
0.545 0.123788 
0.54625 0.116712 
0.5475 0.109576 
0.54875 0.102385 
0.55 0.0951416 
0.55125 0.0878504 
0.5525 0.080515 
0.55375 0.0731391 
0.555 0.0657262 
0.55625 0.0582801 
0.5575 0.0508043 
0.55875 0.0433023 
0.56 0.0357776 
0.56125 0.0282338 
0.5625 0.0206741 
0.56375 0.0131019 
0.565 0.00552052 
0.56625 -0.00206672 
0.5675 -0.00965663 
0.56875 -0.017246 
0.57 -0.0248317 
0.57125 -0.0324107 
0.5725 -0.0399799 
0.57375 -0.0475362 
0.575 -0.0550768 
0.57625 -0.0625987 
0.5775 -0.070099 
0.57875 -0.0775748 
0.58 -0.0850235 
0.58125 -0.0924421 
0.5825 -0.0998281 
0.58375 -0.107179 
0.585 -0.114491 
0.58625 -0.121764 
0.5875 -0.128993 
0.58875 -0.136176 
0.59 -0.143311 
0.59125 -0.150396 
0.5925 -0.157428 
0.59375 -0.164405 
0.595 -0.171325 
0.59625 -0.178185 
0.5975 -0.184982 
0.59875 -0.191716 
0.6 -0.198384 
0.60125 -0.204983 
0.6025 -0.211512 
0.60375 -0.217969 
0.605 -0.224352 
0.60625 -0.230658 
0.6075 -0.236886 
0.60875 -0.243035 
0.61 -0.249101 
0.61125 -0.255085 
0.6125 -0.260983 
0.61375 -0.266794 
0.615 -0.272517 
0.61625 -0.27815 
0.6175 -0.283691 
0.61875 -0.289139 
0.62 -0.294493 
0.62125 -0.29975 
0.6225 -0.30491 
0.62375 -0.309972 
0.625 -0.314933 
0.62625 -0.319793 
0.6275 -0.32455 
0.62875 -0.329203 
0.63 -0.333752 
0.63125 -0.338194 
0.6325 -0.342529 
0.63375 -0.346756 
0.635 -0.350874 
0.63625 -0.354881 
0.6375 -0.358778 
0.63875 -0.362562 
0.64 -0.366233 
0.64125 -0.369791 
0.6425 -0.373234 
0.64375 -0.376561 
0.645 -0.379773 
0.64625 -0.382868 
0.6475 -0.385846 
0.64875 -0.388706 
0.65 -0.391447 
0.65125 -0.394069 
0.6525 -0.396572 
0.65375 -0.398955 
0.655 -0.401217 
0.65625 -0.403359 
0.6575 -0.405379 
0.65875 -0.407278 
0.66 -0.409055 
0.66125 -0.41071 
0.6625 -0.412242 
0.66375 -0.413653 
0.665 -0.41494 
0.66625 -0.416105 
0.6675 -0.417147 
0.66875 -0.418066 
0.67 -0.418863 
0.67125 -0.419536 
0.6725 -0.420087 
0.67375 -0.420515 
0.675 -0.42082 
0.67625 -0.421002 
0.6775 -0.421063 
0.67875 -0.421001 
0.68 -0.420817 
0.68125 -0.420512 
0.6825 -0.420085 
0.68375 -0.419537 
0.685 -0.418868 
0.68625 -0.41808 
0.6875 -0.417171 
0.68875 -0.416143 
0.69 -0.414996 
0.69125 -0.41373 
0.6925 -0.412347 
0.69375 -0.410846 
0.695 -0.409228 
0.69625 -0.407495 
0.6975 -0.405645 
0.69875 -0.403681 
0.7 -0.401603 
0.70125 -0.399412 
0.7025 -0.397107 
0.70375 -0.394691 
0.705 -0.392164 
0.70625 -0.389527 
0.7075 -0.38678 
0.70875 -0.383925 
0.71 -0.380962 
0.71125 -0.377893 
0.7125 -0.374718 
0.71375 -0.371438 
0.715 -0.368054 
0.71625 -0.364568 
0.7175 -0.360981 
0.71875 -0.357293 
0.72 -0.353505 
0.72125 -0.349619 
0.7225 -0.345636 
0.72375 -0.341558 
0.725 -0.337384 
0.72625 -0.333117 
0.7275 -0.328758 
0.72875 -0.324308 
0.73 -0.319768 
0.73125 -0.315139 
0.7325 -0.310424 
0.73375 -0.305622 
0.735 -0.300737 
