# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <phi_8> 
0 0 
0.00125 0 
0.0025 0 
0.00375 0 
0.005 0 
0.00625 0 
0.0075 0 
0.00875 0 
0.01 0 
0.01125 0 
0.0125 0 
0.01375 0 
0.015 0 
0.01625 0 
0.0175 0 
0.01875 0 
0.02 0 
0.02125 0 
0.0225 0 
0.02375 0 
0.025 0 
0.02625 0 
0.0275 0 
0.02875 0 
0.03 0 
0.03125 0 
0.0325 0 
0.03375 0 
0.035 0 
0.03625 0 
0.0375 0 
0.03875 0 
0.04 0 
0.04125 0 
0.0425 0 
0.04375 0 
0.045 0 
0.04625 0 
0.0475 0 
0.04875 0 
0.05 0 
0.05125 0 
0.0525 0 
0.05375 0 
0.055 0 
0.05625 0 
0.0575 0 
0.05875 0 
0.06 0 
0.06125 0 
0.0625 0 
0.06375 0 
0.065 0 
0.06625 0 
0.0675 0 
0.06875 0 
0.07 0 
0.07125 0 
0.0725 0 
0.07375 0 
0.075 0 
0.07625 0 
0.0775 0 
0.07875 0 
0.08 0 
0.08125 0 
0.0825 0 
0.08375 0 
0.085 0 
0.08625 0 
0.0875 0 
0.08875 0 
0.09 0 
0.09125 0 
0.0925 0 
0.09375 0 
0.095 0 
0.09625 0 
0.0975 0 
0.09875 0 
0.1 0 
0.10125 0 
0.1025 0 
0.10375 0 
0.105 0 
0.10625 0 
0.1075 0 
0.10875 0 
0.11 0 
0.11125 0 
0.1125 0 
0.11375 0 
0.115 0 
0.11625 0 
0.1175 0 
0.11875 0 
0.12 0 
0.12125 0 
0.1225 0 
0.12375 0 
0.125 0 
0.12625 0 
0.1275 0 
0.12875 0 
0.13 0 
0.13125 0 
0.1325 0 
0.13375 0 
0.135 0 
0.13625 0 
0.1375 0 
0.13875 0 
0.14 0 
0.14125 0 
0.1425 0 
0.14375 0 
0.145 0 
0.14625 0 
0.1475 0 
0.14875 0 
0.15 0 
0.15125 0 
0.1525 0 
0.15375 0 
0.155 0 
0.15625 0 
0.1575 0 
0.15875 0 
0.16 0 
0.16125 0 
0.1625 0 
0.16375 0 
0.165 0 
0.16625 0 
0.1675 0 
0.16875 0 
0.17 0 
0.17125 0 
0.1725 0 
0.17375 0 
0.175 0 
0.17625 0 
0.1775 0 
0.17875 0 
0.18 0 
0.18125 0 
0.1825 0 
0.18375 0 
0.185 0 
0.18625 0 
0.1875 0 
0.18875 0 
0.19 0 
0.19125 0 
0.1925 0 
0.19375 0 
0.195 0 
0.19625 0 
0.1975 0 
0.19875 0 
0.2 0 
0.20125 0 
0.2025 0 
0.20375 0 
0.205 0 
0.20625 0 
0.2075 0 
0.20875 0 
0.21 0 
0.21125 0 
0.2125 0 
0.21375 0 
0.215 0 
0.21625 0 
0.2175 0 
0.21875 0 
0.22 0 
0.22125 0 
0.2225 0 
0.22375 0 
0.225 0 
0.22625 0 
0.2275 0 
0.22875 0 
0.23 0 
0.23125 0 
0.2325 0 
0.23375 0 
0.235 0 
0.23625 0 
0.2375 0 
0.23875 0 
0.24 0 
0.24125 0 
0.2425 0 
0.24375 0 
0.245 0 
0.24625 0 
0.2475 0 
0.24875 0 
0.25 0 
0.25125 0 
0.2525 0 
0.25375 0 
0.255 0 
0.25625 0 
0.2575 0 
0.25875 0 
0.26 0 
0.26125 0 
0.2625 0 
0.26375 0 
0.265 0 
0.26625 0 
0.2675 0 
0.26875 0 
0.27 0 
0.27125 0 
0.2725 0 
0.27375 0 
0.275 0 
0.27625 0 
0.2775 0 
0.27875 0 
0.28 0 
0.28125 0 
0.2825 0 
0.28375 0 
0.285 0 
0.28625 0 
0.2875 0 
0.28875 0 
0.29 0 
0.29125 0 
0.2925 0 
0.29375 0 
0.295 0 
0.29625 0 
0.2975 0 
0.29875 0 
0.3 0 
0.30125 0 
0.3025 0 
0.30375 0 
0.305 0 
0.30625 0 
0.3075 0 
0.30875 0 
0.31 0 
0.31125 0 
0.3125 0 
0.31375 0 
0.315 0 
0.31625 0 
0.3175 0 
0.31875 0 
0.32 0 
0.32125 0 
0.3225 0 
0.32375 0 
0.325 0 
0.32625 0 
0.3275 0 
0.32875 0 
0.33 0 
0.33125 0 
0.3325 0 
0.33375 0 
0.335 0 
0.33625 0 
0.3375 0 
0.33875 0 
0.34 0 
0.34125 0 
0.3425 0 
0.34375 0 
0.345 0 
0.34625 0 
0.3475 0 
0.34875 0 
0.35 0 
0.35125 0 
0.3525 0 
0.35375 0 
0.355 0 
0.35625 0 
0.3575 0 
0.35875 0 
0.36 0 
0.36125 0 
0.3625 0 
0.36375 0 
0.365 0 
0.36625 0 
0.3675 0 
0.36875 0 
0.37 0 
0.37125 0 
0.3725 0 
0.37375 0 
0.375 0 
0.37625 0 
0.3775 0 
0.37875 0 
0.38 0 
0.38125 0 
0.3825 0 
0.38375 0 
0.385 0 
0.38625 0 
0.3875 0 
0.38875 0 
0.39 0 
0.39125 0 
0.3925 0 
0.39375 0 
0.395 0 
0.39625 0 
0.3975 0 
0.39875 0 
0.4 0 
0.40125 0 
0.4025 0 
0.40375 0 
0.405 0 
0.40625 0 
0.4075 0 
0.40875 0 
0.41 0 
0.41125 0 
0.4125 0 
0.41375 0 
0.415 0 
0.41625 0 
0.4175 0 
0.41875 0 
0.42 0 
0.42125 0 
0.4225 0 
0.42375 0 
0.425 0 
0.42625 0 
0.4275 0 
0.42875 0 
0.43 0 
0.43125 0 
0.4325 0 
0.43375 0 
0.435 0 
0.43625 0 
0.4375 0 
0.43875 0 
0.44 0 
0.44125 0 
0.4425 0 
0.44375 0 
0.445 0 
0.44625 0 
0.4475 0 
0.44875 0 
0.45 0 
0.45125 0 
0.4525 0 
0.45375 0 
0.455 0 
0.45625 0 
0.4575 0 
0.45875 0 
0.46 0 
0.46125 0 
0.4625 0 
0.46375 0 
0.465 0 
0.46625 0 
0.4675 0 
0.46875 0 
0.47 0 
0.47125 0 
0.4725 0 
0.47375 0 
0.475 0 
0.47625 0 
0.4775 0 
0.47875 0 
0.48 0 
0.48125 0 
0.4825 0 
0.48375 0 
0.485 0 
0.48625 0 
0.4875 0 
0.48875 0 
0.49 0 
0.49125 0 
0.4925 0 
0.49375 0 
0.495 0 
0.49625 0 
0.4975 0 
0.49875 0 
0.5 0 


0.5 0 
0.50125 -0.0356933 
0.5025 -0.067209 
0.50375 -0.0947364 
0.505 -0.11846 
0.50625 -0.138558 
0.5075 -0.155206 
0.50875 -0.168573 
0.51 -0.178824 
0.51125 -0.186118 
0.5125 -0.190612 
0.51375 -0.192456 
0.515 -0.191797 
0.51625 -0.188778 
0.5175 -0.183536 
0.51875 -0.176205 
0.52 -0.166915 
0.52125 -0.155792 
0.5225 -0.142958 
0.52375 -0.12853 
0.525 -0.112623 
0.52625 -0.0953465 
0.5275 -0.0768082 
0.52875 -0.057111 
0.53 -0.0363545 
0.53125 -0.0146349 
0.5325 0.00795502 
0.53375 0.0313256 
0.535 0.0553906 
0.53625 0.080067 
0.5375 0.105275 
0.53875 0.130937 
0.54 0.156979 
0.54125 0.18333 
0.5425 0.209923 
0.54375 0.236691 
0.545 0.263572 
0.54625 0.290506 
0.5475 0.317435 
0.54875 0.344305 
0.55 0.371064 
0.55125 0.39766 
0.5525 0.424047 
0.55375 0.45018 
0.555 0.476015 
0.55625 0.501512 
0.5575 0.526632 
0.55875 0.551339 
0.56 0.575599 
0.56125 0.599378 
0.5625 0.622646 
0.56375 0.645376 
0.565 0.667539 
0.56625 0.689112 
0.5675 0.710071 
0.56875 0.730394 
0.57 0.750063 
0.57125 0.769058 
0.5725 0.787363 
0.57375 0.804963 
0.575 0.821845 
0.57625 0.837996 
0.5775 0.853405 
0.57875 0.868064 
0.58 0.881963 
0.58125 0.895097 
0.5825 0.90746 
0.58375 0.919047 
0.585 0.929854 
0.58625 0.939881 
0.5875 0.949125 
0.58875 0.957587 
0.59 0.965268 
0.59125 0.972169 
0.5925 0.978294 
0.59375 0.983646 
0.595 0.98823 
0.59625 0.992051 
0.5975 0.995115 
0.59875 0.99743 
0.6 0.999003 
0.60125 0.999843 
0.6025 0.999959 
0.60375 0.999359 
0.605 0.998056 
0.60625 0.996059 
0.6075 0.99338 
0.60875 0.99003 
0.61 0.986024 
0.61125 0.981372 
0.6125 0.976089 
0.61375 0.970189 
0.615 0.963684 
0.61625 0.956591 
0.6175 0.948924 
0.61875 0.940698 
0.62 0.931928 
0.62125 0.92263 
0.6225 0.91282 
0.62375 0.902515 
0.625 0.89173 
0.62625 0.880482 
0.6275 0.868788 
0.62875 0.856664 
0.63 0.844129 
0.63125 0.831197 
0.6325 0.817888 
0.63375 0.804218 
0.635 0.790203 
0.63625 0.775863 
0.6375 0.761213 
0.63875 0.746271 
0.64 0.731055 
0.64125 0.715581 
0.6425 0.699867 
0.64375 0.683929 
0.645 0.667786 
0.64625 0.651453 
0.6475 0.634947 
0.64875 0.618286 
0.65 0.601486 
0.65125 0.584563 
0.6525 0.567534 
0.65375 0.550414 
0.655 0.533219 
0.65625 0.515966 
0.6575 0.49867 
0.65875 0.481345 
0.66 0.464008 
0.66125 0.446673 
0.6625 0.429354 
0.66375 0.412066 
0.665 0.394823 
0.66625 0.377639 
0.6675 0.360528 
0.66875 0.343503 
0.67 0.326576 
0.67125 0.309761 
0.6725 0.293071 
0.67375 0.276516 
0.675 0.260109 
0.67625 0.243862 
0.6775 0.227786 
0.67875 0.211892 
0.68 0.196189 
0.68125 0.18069 
0.6825 0.165402 
0.68375 0.150337 
0.685 0.135503 
0.68625 0.120909 
0.6875 0.106564 
0.68875 0.0924756 
0.69 0.0786522 
0.69125 0.065101 
0.6925 0.0518294 
0.69375 0.0388442 
0.695 0.0261518 
0.69625 0.0137583 
0.6975 0.00166964 
0.69875 -0.0101089 
0.7 -0.0215721 
0.70125 -0.0327153 
0.7025 -0.0435341 
0.70375 -0.0540244 
0.705 -0.0641826 
0.70625 -0.0740052 
0.7075 -0.0834894 
0.70875 -0.0926323 
0.71 -0.101432 
0.71125 -0.109886 
0.7125 -0.117992 
0.71375 -0.12575 
0.715 -0.133159 
0.71625 -0.140217 
0.7175 -0.146925 
0.71875 -0.153282 
0.72 -0.159288 
0.72125 -0.164945 
0.7225 -0.170252 
0.72375 -0.175212 
0.725 -0.179826 
0.72625 -0.184095 
0.7275 -0.188021 
0.72875 -0.191607 
0.73 -0.194856 
0.73125 -0.197769 
0.7325 -0.200352 
0.73375 -0.202606 
