n_levels n_cells  n_dofs  n_colors n_iter  reduction       L2_error       
       4    4096   512000        8 16.4567 3.265e-01 7.762e-08     -    - 
       5   32768  4096000        8 15.9811 3.158e-01 5.076e-09 15.29 3.93 
       6  262144 32768000        8 15.4086 3.026e-01 2.321e-09  2.19 1.13 
