# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:41:43
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_sqL_2> 
0 0 
0.00125 0.00125883 
0.0025 0.00251499 
0.00375 0.00376849 
0.005 0.00501931 
0.00625 0.00626747 
0.0075 0.00751296 
0.00875 0.00875579 
0.01 0.00999594 
0.01125 0.0112334 
0.0125 0.0124683 
0.01375 0.0137004 
0.015 0.0149299 
0.01625 0.0161567 
0.0175 0.0173809 
0.01875 0.0186023 
0.02 0.0198212 
0.02125 0.0210373 
0.0225 0.0222508 
0.02375 0.0234616 
0.025 0.0246697 
0.02625 0.0258752 
0.0275 0.027078 
0.02875 0.0282782 
0.03 0.0294756 
0.03125 0.0306704 
0.0325 0.0318626 
0.03375 0.033052 
0.035 0.0342388 
0.03625 0.035423 
0.0375 0.0366044 
0.03875 0.0377833 
0.04 0.0389594 
0.04125 0.0401328 
0.0425 0.0413036 
0.04375 0.0424718 
0.045 0.0436372 
0.04625 0.0448 
0.0475 0.0459601 
0.04875 0.0471176 
0.05 0.0482724 
0.05125 0.0494245 
0.0525 0.050574 
0.05375 0.0517208 
0.055 0.0528649 
0.05625 0.0540063 
0.0575 0.0551451 
0.05875 0.0562812 
0.06 0.0574147 
0.06125 0.0585455 
0.0625 0.0596736 
0.06375 0.060799 
0.065 0.0619218 
0.06625 0.0630419 
0.0675 0.0641593 
0.06875 0.0652741 
0.07 0.0663862 
0.07125 0.0674957 
0.0725 0.0686024 
0.07375 0.0697065 
0.075 0.070808 
0.07625 0.0719067 
0.0775 0.0730028 
0.07875 0.0740963 
0.08 0.075187 
0.08125 0.0762751 
0.0825 0.0773606 
0.08375 0.0784433 
0.085 0.0795234 
0.08625 0.0806008 
0.0875 0.0816756 
0.08875 0.0827477 
0.09 0.0838171 
0.09125 0.0848839 
0.0925 0.085948 
0.09375 0.0870094 
0.095 0.0880681 
0.09625 0.0891242 
0.0975 0.0901776 
0.09875 0.0912284 
0.1 0.0922765 
0.10125 0.0933219 
0.1025 0.0943646 
0.10375 0.0954047 
0.105 0.0964421 
0.10625 0.0974769 
0.1075 0.0985089 
0.10875 0.0995383 
0.11 0.100565 
0.11125 0.101589 
0.1125 0.102611 
0.11375 0.103629 
0.115 0.104645 
0.11625 0.105659 
0.1175 0.10667 
0.11875 0.107678 
0.12 0.108683 
0.12125 0.109686 
0.1225 0.110686 
0.12375 0.111683 
0.125 0.112678 
0.12625 0.11367 
0.1275 0.114659 
0.12875 0.115646 
0.13 0.11663 
0.13125 0.117612 
0.1325 0.11859 
0.13375 0.119566 
0.135 0.12054 
0.13625 0.12151 
0.1375 0.122478 
0.13875 0.123444 
0.14 0.124407 
0.14125 0.125367 
0.1425 0.126324 
0.14375 0.127279 
0.145 0.128231 
0.14625 0.12918 
0.1475 0.130127 
0.14875 0.131071 
0.15 0.132012 
0.15125 0.132951 
0.1525 0.133887 
0.15375 0.13482 
0.155 0.135751 
0.15625 0.136679 
0.1575 0.137604 
0.15875 0.138527 
0.16 0.139447 
0.16125 0.140365 
0.1625 0.141279 
0.16375 0.142191 
0.165 0.143101 
0.16625 0.144007 
0.1675 0.144911 
0.16875 0.145813 
0.17 0.146711 
0.17125 0.147607 
0.1725 0.148501 
0.17375 0.149391 
0.175 0.150279 
0.17625 0.151165 
0.1775 0.152048 
0.17875 0.152928 
0.18 0.153805 
0.18125 0.15468 
0.1825 0.155552 
0.18375 0.156421 
0.185 0.157288 
0.18625 0.158152 
0.1875 0.159013 
0.18875 0.159872 
0.19 0.160728 
0.19125 0.161581 
0.1925 0.162432 
0.19375 0.16328 
0.195 0.164125 
0.19625 0.164968 
0.1975 0.165808 
0.19875 0.166645 
0.2 0.16748 
0.20125 0.168312 
0.2025 0.169141 
0.20375 0.169968 
0.205 0.170792 
0.20625 0.171613 
0.2075 0.172432 
0.20875 0.173248 
0.21 0.174061 
0.21125 0.174872 
0.2125 0.17568 
0.21375 0.176485 
0.215 0.177288 
0.21625 0.178088 
0.2175 0.178885 
0.21875 0.17968 
0.22 0.180472 
0.22125 0.181261 
0.2225 0.182047 
0.22375 0.182831 
0.225 0.183613 
0.22625 0.184391 
0.2275 0.185167 
0.22875 0.185941 
0.23 0.186711 
0.23125 0.187479 
0.2325 0.188245 
0.23375 0.189007 
0.235 0.189767 
0.23625 0.190525 
0.2375 0.191279 
0.23875 0.192031 
0.24 0.19278 
0.24125 0.193527 
0.2425 0.194271 
