# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:41:43
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_1> 
0 0 
0.00125 -0.0136588 
0.0025 -0.0272492 
0.00375 -0.0407711 
0.005 -0.0542245 
0.00625 -0.0676095 
0.0075 -0.080926 
0.00875 -0.094174 
0.01 -0.107354 
0.01125 -0.120465 
0.0125 -0.133507 
0.01375 -0.146482 
0.015 -0.159387 
0.01625 -0.172225 
0.0175 -0.184993 
0.01875 -0.197694 
0.02 -0.210325 
0.02125 -0.222889 
0.0225 -0.235384 
0.02375 -0.24781 
0.025 -0.260168 
0.02625 -0.272458 
0.0275 -0.284679 
0.02875 -0.296831 
0.03 -0.308916 
0.03125 -0.320931 
0.0325 -0.332878 
0.03375 -0.344757 
0.035 -0.356567 
0.03625 -0.368309 
0.0375 -0.379983 
0.03875 -0.391587 
0.04 -0.403124 
0.04125 -0.414592 
0.0425 -0.425991 
0.04375 -0.437322 
0.045 -0.448585 
0.04625 -0.459779 
0.0475 -0.470904 
0.04875 -0.481962 
0.05 -0.49295 
0.05125 -0.503871 
0.0525 -0.514722 
0.05375 -0.525506 
0.055 -0.53622 
0.05625 -0.546867 
0.0575 -0.557445 
0.05875 -0.567954 
0.06 -0.578395 
0.06125 -0.588768 
0.0625 -0.599072 
0.06375 -0.609307 
0.065 -0.619474 
0.06625 -0.629573 
0.0675 -0.639603 
0.06875 -0.649565 
0.07 -0.659458 
0.07125 -0.669283 
0.0725 -0.679039 
0.07375 -0.688727 
0.075 -0.698346 
0.07625 -0.707897 
0.0775 -0.71738 
0.07875 -0.726794 
0.08 -0.736139 
0.08125 -0.745416 
0.0825 -0.754625 
0.08375 -0.763765 
0.085 -0.772837 
0.08625 -0.78184 
0.0875 -0.790774 
0.08875 -0.799641 
0.09 -0.808438 
0.09125 -0.817168 
0.0925 -0.825829 
0.09375 -0.834421 
0.095 -0.842945 
0.09625 -0.8514 
0.0975 -0.859787 
0.09875 -0.868106 
0.1 -0.876356 
0.10125 -0.884538 
0.1025 -0.892651 
0.10375 -0.900696 
0.105 -0.908672 
0.10625 -0.916579 
0.1075 -0.924419 
0.10875 -0.93219 
0.11 -0.939892 
0.11125 -0.947526 
0.1125 -0.955091 
0.11375 -0.962588 
0.115 -0.970017 
0.11625 -0.977377 
0.1175 -0.984668 
0.11875 -0.991891 
0.12 -0.999046 
0.12125 -1.00613 
0.1225 -1.01315 
0.12375 -1.0201 
0.125 -1.02698 
0.12625 -1.03379 
0.1275 -1.04054 
0.12875 -1.04721 
0.13 -1.05382 
0.13125 -1.06036 
0.1325 -1.06683 
0.13375 -1.07323 
0.135 -1.07956 
0.13625 -1.08583 
0.1375 -1.09202 
0.13875 -1.09815 
0.14 -1.10421 
0.14125 -1.1102 
0.1425 -1.11612 
0.14375 -1.12198 
0.145 -1.12776 
0.14625 -1.13348 
0.1475 -1.13913 
0.14875 -1.14471 
0.15 -1.15022 
0.15125 -1.15566 
0.1525 -1.16103 
0.15375 -1.16634 
0.155 -1.17158 
0.15625 -1.17675 
