n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction      L2_error_u            L2_error_p         H1semi_error_u     
       3      64   12416     8320     4096        1 22.6073 4.427e-01 2.615e-13     -     - 2.895e-10    -     - 4.471e-11     -     - 
       4     256   49408    33024    16384        1 21.6430 4.269e-01 1.295e-14 20.19  4.36 2.315e-10 1.25  0.32 1.168e-12 38.29  5.29 
       5    1024  197120   131584    65536        1 22.4866 4.408e-01 1.847e-14  0.70 -0.51 2.895e-10 0.80 -0.32 6.588e-13  1.77  0.83 
       6    4096  787456   525312   262144        1 21.3248 4.216e-01 6.855e-14  0.27 -1.89 4.005e-10 0.72 -0.47 9.527e-13  0.69 -0.53 
       7   16384 3147776  2099200  1048576        1 21.3878 4.226e-01 2.583e-13  0.27 -1.92 6.503e-10 0.62 -0.70 2.057e-12  0.46 -1.11 
