n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction       L2_error_u            L2_error_p          H1semi_error_u     
       3      64    9520     6384     3136        8 3.7068 6.947e-03 9.652e-12      -     - 2.070e-09      -    - 1.511e-09     -     - 
       4     256   37856    25312    12544        8 4.0556 1.065e-02 7.507e-14 128.58  7.05 2.014e-11 102.77 6.68 2.372e-11 63.71  6.03 
       5    1024  150976   100800    50176        8 4.2147 1.264e-02 3.221e-15  23.31  4.56 1.518e-11   1.33 0.41 3.765e-13 63.01  6.00 
       6    4096  603008   402304   200704        8 4.2571 1.321e-02 5.004e-15   0.64 -0.64 9.402e-12   1.61 0.69 6.668e-14  5.65  2.50 
       7   16384 2410240  1607424   802816        8 4.2579 1.322e-02 1.022e-14   0.49 -1.03 4.839e-12   1.94 0.96 1.262e-13  0.53 -0.92 
